DateTime,News
2008-08-19 12:37:00,Wall Street\'s Buy List
2008-08-29 08:46:00,Embraer Delivers First Embraer 190 Jet to China\'s Kunpeng Airlines
2008-09-04 05:39:00,Boeing to support Mitsubishi Heavy in jet business
2008-09-12 04:52:00,How a Rising Dollar Helps Embraer
2008-09-12 05:09:00,Boeing machinists could be hurting themselves on outsourcing
2008-09-16 06:01:00,Embraer Makes First E-Jets Sale to Montenegro Airlines
2008-09-16 10:07:00,"Embraer Opens Executive Jets Service Center in Mesa, Arizona"
2008-09-17 05:55:00,Embraer opens $10 million jet center in Mesa
2008-09-18 01:45:00,Embraer Board of Directors Approves Senior Management Succession Plans
2008-09-24 03:52:00,13 Defense and Aerospace Stocks to Consider
2008-09-26 09:04:00,Embraer - Empresa Brasileira De Aeronautica S.A.
2008-10-02 07:08:00,Your First Move For Friday October 3rd
2008-10-03 12:55:00,Was This Stock a Mistake?
2008-10-06 10:25:00,Goodrich lands Embraer contract
2008-10-06 11:03:00,Goodrich gets $110M deal from Brazil\'s Embraer
2008-10-07 10:07:00,Embraer Sells Four Executive Jets to Vibroair
2008-10-09 08:52:00,Embraer Takes Additional Order from Executive AirShare
2008-10-10 01:00:00,Empresa Brasileira de Aeron?utica S.A. (): Zacks Rank Buy
2008-10-10 05:47:00,"Embraer Signs LAM, from Mozambique, for Two Embraer 190 Jets"
2008-10-10 06:36:00,Brazil\'s Embraer delivers 48 jets in 3rd quarter
2008-10-10 06:54:00,UPDATE - Brazil\'s Embraer delivers 48 jets in 3rd quarter
2008-10-10 09:40:00,Embraer\'s 2008 Deliveries Reach 145 Jets After Three Quarters
2008-10-10 09:51:00,Eaton to supply 4 systems on Embraer jets
2008-10-10 10:07:00,Embraer-Empresa Brasileira De Aeronautica S.A. Market Announcement
2008-10-13 01:00:00,"Delta Airlines, Inc. (): Zacks Rank Buy"
2008-10-14 04:02:00,"Boeing, Machinists Still Far Apart"
2008-10-22 04:44:00,A Closer Look At Five S&P ADR Index Companies
2008-10-29 05:00:00,Webcast Alert: Empresa Brasileira de Aeronautica S/A - Embraer Announces 3rd Quarter 2008 Results Webcast
2008-11-03 07:07:00,Q3 2008 Embraer-Empresa Brasileira de Aeronutica S.A. Earnings Release - Time Not Supplied
2008-11-03 09:48:00,Embraer Releases Third Quarter 2008 Results in U.S. GAAP
2008-11-03 10:50:00,GE set to buy five Chinese-made regional jets
2008-11-04 02:04:00,The Biggest Threat to Your Portfolio Today
2008-11-04 04:45:00,General Electric orders 25 China-made jetliners
2008-11-04 07:21:00,Brazil\'s Embraer Mulls Larger Jetliners
2008-11-04 09:34:00,Embraer third-quarter net income falls 70%
2008-11-04 10:07:00,Brazil\'s Embraer mulls development of a larger jet
2008-11-06 03:58:00,"CORRECT: Brazil, Mexican indexes fall, led by industrials"
2008-11-06 05:04:00,"Latin American Markets: Brazil, Mexico take part in global stock sell-off"
2008-11-06 10:24:00,Video Webcast Alert: Empresa Brasileira de Aeronautica S/A - Embraer Announces Video Webcast Regarding Airplane Delivery to KLM
2008-11-08 09:06:00,Brazil\'s Embraer cuts delivery forecast for 2009
2008-11-10 01:49:00,Embraer Announces Its Long-Term Aviation Market Outlook
2008-11-11 02:42:00,Elbit Systems gets $187 mln Embraer contract
2008-11-11 03:03:00,UPDATE - Elbit Systems gets $187 mln Embraer contract
2008-11-11 07:10:00,Elbit Systems gets up to $187 mln Embraer accord
2008-11-11 09:26:00,Israel Stocks: Market lower; Elbit Systems gets Embraer pact
2008-11-11 10:29:00,Embraer picks Elbit Systems for jet work
